66	6984	2668	1984	92676	6703	11636	39745	36689	6309	22121	65119	5219
67	13896	2108	3676	98522	5846	19680	39988	37604	6308	20919	64831	5637
68	10378	908	4564	104189	5667	15850	40039	37741	6304	21108	65153	5725
69	7660	1396	5598	109740	5551	14654	39962	36670	6323	22245	65238	5591
70	2048	2122	2362	115909	6169	6532	39745	36689	6309	22121	65119	5219
71	2500	3660	2224	121301	5392	8384	39745	36689	6309	22121	65119	5219
72	6710	3452	3002	126004	4703	13164	39820	36446	6371	22617	65434	5348
73	11566	3660	4806	130716	4712	20032	39967	37322	6349	21430	65101	5602
74	10494	1672	4912	135464	4748	17078	40104	37484	6365	21592	65441	5836
75	9458	1226	6440	138969	3505	17124	40110	37095	6360	22681	66136	5847
76	7388	3032	5710	142824	3855	16130	40040	36391	6371	23090	65852	5727
77	2310	3040	3108	146062	3238	8458	39683	35178	6372	23668	65218	5112
78	3900	1926	2636	149607	3545	8462	39796	36251	6347	22903	65501	5308
79	11630	3434	6700	152306	2699	21764	40110	35143	7360	23272	65775	5847
80	8472	2302	6170	155219	2913	16944	40186	35002	6529	24065	65596	5978
81	8476	1350	5582	158207	2988	15408	40184	35085	6470	23971	65526	5974
82	8168	1058	5816	161397	3190	15042	39951	35159	6398	23848	65405	5574
83	5586	3152	5418	163913	2516	14156	40054	34884	7408	24405	66697	5750
84	1914	3864	3080	166473	2560	8858	40028	34884	7404	24368	66656	5707
85	4298	2428	2300	169303	2830	9026	39908	34977	6642	23933	65552	5501
86	11902	4468	4914	171443	2140	21284	40100	34883	7461	24363	66707	5830
87	10758	3066	5062	173497	2054	18886	40234	35307	7474	24488	67269	6062
88	11766	1742	6364	175829	2332	19872	39517	35072	7418	24065	66555	4826
89	10892	1024	8028	178196	2367	19944	40280	35153	7420	24035	66608	6140
90	8902	5468	4688	180791	2595	19058	40014	34489	7417	25388	67294	5682
91	2548	6344	3016	183088	2297	11908	38354	34057	7446	25858	67361	2826
92	6602	3050	2524	185374	2286	12176	39641	34921	7442	24602	66965	5041
93	20954	5102	5548	187216	1842	31604	43720	36451	7355	24521	68327	12056
94	17732	3168	4938	189214	1998	25838	40185	36668	7343	23764	67775	5976
95	16726	2252	6316	191069	1855	25294	40197	36756	7353	23745	67854	5996
96	16894	1346	8120	193061	1992	26360	40185	36668	7343	23764	67775	5976
